t,r,r_dot,r_dot_dot,psi,psi_dot
1.59195001000116911904E+02,1.01852848285785148727E+01,-2.75025539437089250989E-01,-8.69306787384576366116E-03,3.43759929275952799297E+00,9.63948081121514956450E-03
1.59210001000116926906E+02,1.01770301486462439377E+01,-2.75286531441746746066E-01,-8.70640675265740366803E-03,3.43788871169901270636E+00,9.65512449074673579199E-03
1.59225001000116941907E+02,1.01687676329450468471E+01,-2.75547924262169958743E-01,-8.71978895968994666915E-03,3.43817860074346865894E+00,9.67082118693744899536E-03
1.59240001000116956908E+02,1.01604972694309234520E+01,-2.75809719201213151456E-01,-8.73321469566138072461E-03,3.43846896148723206281E+00,9.68657115582546674725E-03
1.59255001000116971910E+02,1.01522190460206976192E+01,-2.76071917567770396326E-01,-8.74668416250924916639E-03,3.43875979553234446275E+00,9.70237465506806901729E-03
1.59270001000116986911E+02,1.01439329505918352592E+01,-2.76334520676812287219E-01,-8.76019756339979877190E-03,3.43905110448860164979E+00,9.71823194395427025741E-03
1.59285001000117001912E+02,1.01356389709822614625E+01,-2.76597529849422963245E-01,-8.77375510273720924499E-03,3.43934288997360262550E+00,9.73414328341756831827E-03
1.59300001000117016914E+02,1.01273370949901767761E+01,-2.76860946412837370916E-01,-8.78735698617290476693E-03,3.43963515361279932592E+00,9.75010893604881136685E-03
1.59315001000117031915E+02,1.01190273103738719220E+01,-2.77124771700478823188E-01,-8.80100342061494961533E-03,3.43992789703954636037E+00,9.76612916610918540616E-03
1.59330001000117046916E+02,1.01107096048515416728E+01,-2.77389007051996836921E-01,-8.81469461423752752837E-03,3.44022112189515142191E+00,9.78220423954332230153E-03
1.59345001000117061918E+02,1.01023839661010973734E+01,-2.77653653813305272810E-01,-8.82843077649050649491E-03,3.44051482982892592216E+00,9.79833442399253058945E-03
1.59360001000117076919E+02,1.00940503817599785711E+01,-2.77918713336620739967E-01,-8.84221211810908912448E-03,3.44080902249823617997E+00,9.81451998880814948640E-03
1.59375001000117091920E+02,1.00857088394249632332E+01,-2.78184186980501303455E-01,-8.85603885112355027697E-03,3.44110370156855484313E+00,9.83076120506502842636E-03
1.59390001000117106922E+02,1.00773593266519769993E+01,-2.78450076109885488491E-01,-8.86991118886906216879E-03,3.44139886871351282369E+00,9.84705834557513259870E-03
1.59405001000117121923E+02,1.00690018309559012107E+01,-2.78716382096131568539E-01,-8.88382934599560823623E-03,3.44169452561495166462E+00,9.86341168490127634137E-03
1.59420001000117136924E+02,1.00606363398103794997E+01,-2.78983106317057162740E-01,-8.89779353847798705022E-03,3.44199067396297614689E+00,9.87982149937098620820E-03
1.59435001000117151926E+02,1.00522628406476239064E+01,-2.79250250156979132077E-01,-8.91180398362590560422E-03,3.44228731545600760071E+00,9.89628806709049317047E-03
1.59450001000117166927E+02,1.00438813208582187579E+01,-2.79517815006753786314E-01,-8.92586090009416583313E-03,3.44258445180083737041E+00,9.91281166795885885137E-03
1.59465001000117181928E+02,1.00354917677909241053E+01,-2.79785802263817372248E-01,-8.93996450789294232567E-03,3.44288208471268081961E+00,9.92939258368223369003E-03
